id,psgcCode,citymunDesc,regDesc,provCode,citymunCode
1,12801000,ADAMS,1,128,12801
2,12802000,BACARRA,1,128,12802
3,12803000,BADOC,1,128,12803
4,12804000,BANGUI,1,128,12804
5,12805000,CITY OF BATAC,1,128,12805
6,12806000,BURGOS,1,128,12806
7,12807000,CARASI,1,128,12807
8,12808000,CURRIMAO,1,128,12808
9,12809000,DINGRAS,1,128,12809
10,12810000,DUMALNEG,1,128,12810
11,12811000,BANNA (ESPIRITU),1,128,12811
12,12812000,LAOAG CITY (Capital),1,128,12812
13,12813000,MARCOS,1,128,12813
14,12814000,NUEVA ERA,1,128,12814
15,12815000,PAGUDPUD,1,128,12815
16,12816000,PAOAY,1,128,12816
17,12817000,PASUQUIN,1,128,12817
18,12818000,PIDDIG,1,128,12818
19,12819000,PINILI,1,128,12819
20,12820000,SAN NICOLAS,1,128,12820
21,12821000,SARRAT,1,128,12821
22,12822000,SOLSONA,1,128,12822
23,12823000,VINTAR,1,128,12823
24,12901000,ALILEM,1,129,12901
25,12902000,BANAYOYO,1,129,12902
26,12903000,BANTAY,1,129,12903
27,12904000,BURGOS,1,129,12904
28,12905000,CABUGAO,1,129,12905
29,12906000,CITY OF CANDON,1,129,12906
30,12907000,CAOAYAN,1,129,12907
31,12908000,CERVANTES,1,129,12908
32,12909000,GALIMUYOD,1,129,12909
33,12910000,GREGORIO DEL PILAR (CONCEPCION),1,129,12910
34,12911000,LIDLIDDA,1,129,12911
35,12912000,MAGSINGAL,1,129,12912
36,12913000,NAGBUKEL,1,129,12913
37,12914000,NARVACAN,1,129,12914
38,12915000,QUIRINO (ANGKAKI),1,129,12915
39,12916000,SALCEDO (BAUGEN),1,129,12916
40,12917000,SAN EMILIO,1,129,12917
41,12918000,SAN ESTEBAN,1,129,12918
42,12919000,SAN ILDEFONSO,1,129,12919
43,12920000,SAN JUAN (LAPOG),1,129,12920
44,12921000,SAN VICENTE,1,129,12921
45,12922000,SANTA,1,129,12922
46,12923000,SANTA CATALINA,1,129,12923
47,12924000,SANTA CRUZ,1,129,12924
48,12925000,SANTA LUCIA,1,129,12925
49,12926000,SANTA MARIA,1,129,12926
50,12927000,SANTIAGO,1,129,12927
51,12928000,SANTO DOMINGO,1,129,12928
52,12929000,SIGAY,1,129,12929
53,12930000,SINAIT,1,129,12930
54,12931000,SUGPON,1,129,12931
55,12932000,SUYO,1,129,12932
56,12933000,TAGUDIN,1,129,12933
57,12934000,CITY OF VIGAN (Capital),1,129,12934
58,13301000,AGOO,1,133,13301
59,13302000,ARINGAY,1,133,13302
60,13303000,BACNOTAN,1,133,13303
61,13304000,BAGULIN,1,133,13304
62,13305000,BALAOAN,1,133,13305
63,13306000,BANGAR,1,133,13306
64,13307000,BAUANG,1,133,13307
65,13308000,BURGOS,1,133,13308
66,13309000,CABA,1,133,13309
67,13310000,LUNA,1,133,13310
68,13311000,NAGUILIAN,1,133,13311
69,13312000,PUGO,1,133,13312
70,13313000,ROSARIO,1,133,13313
71,13314000,CITY OF SAN FERNANDO (Capital),1,133,13314
72,13315000,SAN GABRIEL,1,133,13315
73,13316000,SAN JUAN,1,133,13316
74,13317000,SANTO TOMAS,1,133,13317
75,13318000,SANTOL,1,133,13318
76,13319000,SUDIPEN,1,133,13319
77,13320000,TUBAO,1,133,13320
78,15501000,AGNO,1,155,15501
79,15502000,AGUILAR,1,155,15502
80,15503000,CITY OF ALAMINOS,1,155,15503
81,15504000,ALCALA,1,155,15504
82,15505000,ANDA,1,155,15505
83,15506000,ASINGAN,1,155,15506
84,15507000,BALUNGAO,1,155,15507
85,15508000,BANI,1,155,15508
86,15509000,BASISTA,1,155,15509
87,15510000,BAUTISTA,1,155,15510
88,15511000,BAYAMBANG,1,155,15511
89,15512000,BINALONAN,1,155,15512
90,15513000,BINMALEY,1,155,15513
91,15514000,BOLINAO,1,155,15514
92,15515000,BUGALLON,1,155,15515
93,15516000,BURGOS,1,155,15516
94,15517000,CALASIAO,1,155,15517
95,15518000,DAGUPAN CITY,1,155,15518
96,15519000,DASOL,1,155,15519
97,15520000,INFANTA,1,155,15520
98,15521000,LABRADOR,1,155,15521
99,15522000,LINGAYEN (Capital),1,155,15522
100,15523000,MABINI,1,155,15523
101,15524000,MALASIQUI,1,155,15524
102,15525000,MANAOAG,1,155,15525
103,15526000,MANGALDAN,1,155,15526
104,15527000,MANGATAREM,1,155,15527
105,15528000,MAPANDAN,1,155,15528
106,15529000,NATIVIDAD,1,155,15529
107,15530000,POZORRUBIO,1,155,15530
108,15531000,ROSALES,1,155,15531
109,15532000,SAN CARLOS CITY,1,155,15532
110,15533000,SAN FABIAN,1,155,15533
111,15534000,SAN JACINTO,1,155,15534
112,15535000,SAN MANUEL,1,155,15535
113,15536000,SAN NICOLAS,1,155,15536
114,15537000,SAN QUINTIN,1,155,15537
115,15538000,SANTA BARBARA,1,155,15538
116,15539000,SANTA MARIA,1,155,15539
117,15540000,SANTO TOMAS,1,155,15540
118,15541000,SISON,1,155,15541
119,15542000,SUAL,1,155,15542
120,15543000,TAYUG,1,155,15543
121,15544000,UMINGAN,1,155,15544
122,15545000,URBIZTONDO,1,155,15545
123,15546000,CITY OF URDANETA,1,155,15546
124,15547000,VILLASIS,1,155,15547
125,15548000,LAOAC,1,155,15548
126,20901000,BASCO (Capital),2,209,20901
127,20902000,ITBAYAT,2,209,20902
128,20903000,IVANA,2,209,20903
129,20904000,MAHATAO,2,209,20904
130,20905000,SABTANG,2,209,20905
131,20906000,UYUGAN,2,209,20906
132,21501000,ABULUG,2,215,21501
133,21502000,ALCALA,2,215,21502
134,21503000,ALLACAPAN,2,215,21503
135,21504000,AMULUNG,2,215,21504
136,21505000,APARRI,2,215,21505
137,21506000,BAGGAO,2,215,21506
138,21507000,BALLESTEROS,2,215,21507
139,21508000,BUGUEY,2,215,21508
140,21509000,CALAYAN,2,215,21509
141,21510000,CAMALANIUGAN,2,215,21510
142,21511000,CLAVERIA,2,215,21511
143,21512000,ENRILE,2,215,21512
144,21513000,GATTARAN,2,215,21513
145,21514000,GONZAGA,2,215,21514
146,21515000,IGUIG,2,215,21515
147,21516000,LAL-LO,2,215,21516
148,21517000,LASAM,2,215,21517
149,21518000,PAMPLONA,2,215,21518
150,21519000,PEÑABLANCA,2,215,21519
151,21520000,PIAT,2,215,21520
152,21521000,RIZAL,2,215,21521
153,21522000,SANCHEZ-MIRA,2,215,21522
154,21523000,SANTA ANA,2,215,21523
155,21524000,SANTA PRAXEDES,2,215,21524
156,21525000,SANTA TERESITA,2,215,21525
157,21526000,SANTO NIÑO (FAIRE),2,215,21526
158,21527000,SOLANA,2,215,21527
159,21528000,TUAO,2,215,21528
160,21529000,TUGUEGARAO CITY (Capital),2,215,21529
161,23101000,ALICIA,2,231,23101
162,23102000,ANGADANAN,2,231,23102
163,23103000,AURORA,2,231,23103
164,23104000,BENITO SOLIVEN,2,231,23104
165,23105000,BURGOS,2,231,23105
166,23106000,CABAGAN,2,231,23106
167,23107000,CABATUAN,2,231,23107
168,23108000,CITY OF CAUAYAN,2,231,23108
169,23109000,CORDON,2,231,23109
170,23110000,DINAPIGUE,2,231,23110
171,23111000,DIVILACAN,2,231,23111
172,23112000,ECHAGUE,2,231,23112
173,23113000,GAMU,2,231,23113
174,23114000,ILAGAN CITY (Capital),2,231,23114
175,23115000,JONES,2,231,23115
176,23116000,LUNA,2,231,23116
177,23117000,MACONACON,2,231,23117
178,23118000,DELFIN ALBANO (MAGSAYSAY),2,231,23118
179,23119000,MALLIG,2,231,23119
180,23120000,NAGUILIAN,2,231,23120
181,23121000,PALANAN,2,231,23121
182,23122000,QUEZON,2,231,23122
183,23123000,QUIRINO,2,231,23123
184,23124000,RAMON,2,231,23124
185,23125000,REINA MERCEDES,2,231,23125
186,23126000,ROXAS,2,231,23126
187,23127000,SAN AGUSTIN,2,231,23127
188,23128000,SAN GUILLERMO,2,231,23128
189,23129000,SAN ISIDRO,2,231,23129
190,23130000,SAN MANUEL,2,231,23130
191,23131000,SAN MARIANO,2,231,23131
192,23132000,SAN MATEO,2,231,23132
193,23133000,SAN PABLO,2,231,23133
194,23134000,SANTA MARIA,2,231,23134
195,23135000,CITY OF SANTIAGO,2,231,23135
196,23136000,SANTO TOMAS,2,231,23136
