id,department_code,ffunccod,office,short_name,within_capitol,empl_id,designation,created_at,updated_at,location,can_be_multiple_services,assigned_character,queuing_ip_address,window_count,
1,1,1011,PROVINCIAL GOVERNOR'S OFFICE,PGO,1,10063,PG Dept. PGO,03/08/2022 15:08,10/04/2025 11:23,,0,A,,1,
2,2,1031,PROVINCIAL ADMINISTRATOR'S OFFICE,PAO,0,10058,PG Dept. PAO,03/08/2022 15:08,,,0,B,,1,
3,3,1032,PROVINCIAL HUMAN RESOURCE MGT. AND DEVELOPMENT OFFICE,PHRMDO,1,27,PG Dept. PHRMDO,03/08/2022 15:08,02/06/2025 8:12,,0,C,,1,
4,4,1041,PROVINCIAL PLANNING & DEVELOPMENT OFFICE,PPDO,1,74,OIC - PG Dept. PPDO,03/08/2022 15:08,02/06/2025 8:12,,0,D,,1,
5,5,1061,PROVINCIAL GENERAL SERVICES OFFICE,PGSO,1,27,OIC - PG Dept. PGSO,03/08/2022 15:08,02/06/2025 8:12,,0,E,,1,
6,6,1071,PROVINCIAL BUDGET OFFICE,PBO,1,79,PG Dept. PBO,03/08/2022 15:08,02/06/2025 8:12,,0,F,,1,
7,7,1081,PROVINCIAL ACCOUNTANT'S OFFICE,PACCO,1,101,PG Dept. PACCO,03/08/2022 15:08,02/06/2025 8:12,,0,G,,1,
8,8,1091,PROVINCIAL TREASURER'S OFFICE,PTO,1,419,PG Dept. PTO,03/08/2022 15:08,08/10/2025 14:19,,0,H,192.168.160.212,1,
9,9,1101,PROVINCIAL ASSESSOR'S OFFICE,PASSO,1,118,PG Dept. PASSO,03/08/2022 15:08,04/04/2025 11:44,,0,I,,1,
10,10,1131,PROVINCIAL LEGAL OFFICE,PLO,1,2419,OIC - PG Dept. PLO,03/08/2022 15:08,27/05/2025 16:57,,0,J,,1,
11,11,4411,PROVINCIAL HEALTH OFFICE,PHO,1,7,PG Dept. PHO,03/08/2022 15:08,04/04/2025 11:41,,0,K,,1,
12,12,7611,PROVINCIAL SOCIAL WELFARE & DEV'T. OFFICE,PSWDO,1,3,PG Dept. PSWDO,03/08/2022 15:08,14/10/2025 14:08,,0,L,192.168.160.99,4,
13,13,8711,PROVINCIAL AGRICULTURIST'S OFFICE,PAGRO,1,635,PG Dept. PAGRO,03/08/2022 15:08,02/06/2025 8:12,,0,M,,1,
14,14,8721,PROVINCIAL VETERINARY OFFICE,PVO,1,130,PG Dept. PVO,03/08/2022 15:08,02/06/2025 8:13,,0,N,,1,
15,15,8731,PROVINCIAL ENVIRONMENT AND NATURAL RESOURCES OFFICE,PENRO,1,128,PG Dept. PENRO,03/08/2022 15:08,02/06/2025 8:13,,0,O,,1,
16,16,8751,PROVINCIAL ENGINEER'S OFFICE,PEO,1,282,PG Dept. PEO,03/08/2022 15:08,02/06/2025 8:13,,0,P,,1,
17,17,4490,PROVINCIAL DISASTER RISK REDUCTION MANAGEMENT OFFICE,PDRRMO,1,2165,PG Dept. PDRRMO,03/08/2022 15:08,02/06/2025 8:13,,0,Q,,1,
18,18,1016,VICE GOVERNOR'S OFFICE,VGO,1,7610,PG Dept. VGO,03/08/2022 15:08,02/06/2025 8:13,,0,R,,1,
19,19,1021,SANGGUNIANG PANLALAWIGAN OFFICE,SPO,1,9359,PG Dept. SPO,03/08/2022 15:08,02/06/2025 8:13,,0,S,,1,
20,20,4421,PROVINCIAL ECONOMIC ENTERPRISE & MGT OFFICE,PEEMO,1,10058,OIC - PG Dept. PEEMO,03/08/2022 15:08,02/06/2025 8:13,,0,T,,1,
21,21,4421-1,DAVAO DE ORO PROVINCIAL HOSPITAL (DDOPH) - MONTEVISTA,DDOPH - MONTEVISTA,0,7153,PG Dept. DDOPH - MONTEVISTA,03/08/2022 15:08,,,0,U,,1,
22,22,4421-2,DAVAO DE ORO PROVINCIAL HOSPITAL (DDOPH) - PANTUKAN,DDOPH - PANTUKAN,0,10058,PG Dept. DDOPH - PANTUKAN,03/08/2022 15:08,,,0,V,,1,
23,23,4421-3,DAVAO DE ORO PROVINCIAL HOSPITAL (DDOPH) - LAAK,DDOPH - LAAK,0,6852,PG Dept. DDOPH - LAAK,03/08/2022 15:08,,,0,W,,1,
24,24,4421-4,DAVAO DE ORO PROVINCIAL HOSPITAL (DDOPH) - MARAGUSAN,DDOPH - MARAGUSAN,0,9511,PG Dept. DDOPH - MARAGUSAN,03/08/2022 15:08,,,0,X,,1,
25,25,1011-2,PROVINCIAL INTERNAL AUDIT OFFICE,PIAO,1,96,PG Dept. PIAO,03/08/2022 15:08,02/06/2025 8:13,,0,Y,,1,
26,26,1121,PROVINCIAL INFORMATION AND COMMUNICATIONS TECHNOLOGY OFFICE,PICTO,1,58,PG Dept. PICTO,03/08/2022 15:08,08/10/2025 13:28,"3rd floor capitol building, Cabidianan, Nabunturan, Davao de Oro",0,Z,192.168.160.99,1,
27,27,,NO OFFICE,NO OFFICE,0,,,08/08/2022 16:27,,,0,-,,1,
28,28,,MUNICIPALITY,MUNICIPALITY,0,,,08/08/2022 16:28,,,0,-,,1,
29,29,,BARANGAY,BARANGAY,0,,,08/08/2022 16:28,,,0,-,,1,
30,30,,NATIONAL,NATIONAL,0,,,08/08/2022 16:28,,,0,-,,1,
31,31,,COMMISSION ON AUDIT,COA,0,246832,,,,,0,-,,1,
32,32,,DILG,DILG,0,10063,PG Dept. PGO,,,,0,-,,1,
33,33,,Philippine National Police,PNP,0,,,,,,0,-,,1,
34,34,,Bureau of Fire Protection,BFP,0,,,,,,0,-,,1,
35,35,,Philippine Drug Enforcement Agency,PDEA,0,,,,,,0,-,,1,
36,36,,Bureau of Jail Management and Penology,BJMP,0,,,,,,0,-,,1,
37,37,,Highway Patrol Group,HPG,0,,,,,,0,-,,1,
38,38,,Military Intelligence Company,101st MICO,0,,,,,,0,-,,1,
39,39,,10th Forward Support Medical Company,FSDC,0,,,,,,0,-,,1,
40,40,,48th Infantry Battalion,48IB,0,,,,,,0,-,,1,
41,41,,60th Infantry Batallion,60IB,0,,,,,,0,-,,1,
42,42,,Philippine Army,AFP,0,,,,,,0,-,,1,
43,43,,DEPARTMENT OF EDUCATION,DEPED,0,,,,,,0,-,,1,
44,44,,PGO-Maduolan,MADUOLAN,1,,,26/08/2025 10:51,14/10/2025 14:15,Capitol Bldg Ground Floor,0,,192.168.160.99,1,
