id,psgcCode,provDesc,regCode,provCode
1,12800000,ILOCOS NORTE,1,128
2,12900000,ILOCOS SUR,1,129
3,13300000,LA UNION,1,133
4,15500000,PANGASINAN,1,155
5,20900000,BATANES,2,209
6,21500000,CAGAYAN,2,215
7,23100000,ISABELA,2,231
8,25000000,NUEVA VIZCAYA,2,250
9,25700000,QUIRINO,2,257
10,30800000,BATAAN,3,308
11,31400000,BULACAN,3,314
12,34900000,NUEVA ECIJA,3,349
13,35400000,PAMPANGA,3,354
14,36900000,TARLAC,3,369
15,37100000,ZAMBALES,3,371
16,37700000,AURORA,3,377
17,41000000,BATANGAS,4,410
18,42100000,CAVITE,4,421
19,43400000,LAGUNA,4,434
20,45600000,QUEZON,4,456
21,45800000,RIZAL,4,458
22,174000000,MARINDUQUE,17,1740
23,175100000,OCCIDENTAL MINDORO,17,1751
24,175200000,ORIENTAL MINDORO,17,1752
25,175300000,PALAWAN,17,1753
26,175900000,ROMBLON,17,1759
27,50500000,ALBAY,5,505
28,51600000,CAMARINES NORTE,5,516
29,51700000,CAMARINES SUR,5,517
30,52000000,CATANDUANES,5,520
31,54100000,MASBATE,5,541
32,56200000,SORSOGON,5,562
33,60400000,AKLAN,6,604
34,60600000,ANTIQUE,6,606
35,61900000,CAPIZ,6,619
36,63000000,ILOILO,6,630
37,64500000,NEGROS OCCIDENTAL,6,645
38,67900000,GUIMARAS,6,679
39,71200000,BOHOL,7,712
40,72200000,CEBU,7,722
41,74600000,NEGROS ORIENTAL,7,746
42,76100000,SIQUIJOR,7,761
43,82600000,EASTERN SAMAR,8,826
44,83700000,LEYTE,8,837
45,84800000,NORTHERN SAMAR,8,848
46,86000000,SAMAR (WESTERN SAMAR),8,860
47,86400000,SOUTHERN LEYTE,8,864
48,87800000,BILIRAN,8,878
49,97200000,ZAMBOANGA DEL NORTE,9,972
50,97300000,ZAMBOANGA DEL SUR,9,973
51,98300000,ZAMBOANGA SIBUGAY,9,983
52,99700000,CITY OF ISABELA,9,997
53,101300000,BUKIDNON,10,1013
54,101800000,CAMIGUIN,10,1018
55,103500000,LANAO DEL NORTE,10,1035
56,104200000,MISAMIS OCCIDENTAL,10,1042
57,104300000,MISAMIS ORIENTAL,10,1043
58,112300000,DAVAO DEL NORTE,11,1123
59,112400000,DAVAO DEL SUR,11,1124
60,112500000,DAVAO ORIENTAL,11,1125
61,118200000,DAVAO DE ORO,11,1182
62,118600000,DAVAO OCCIDENTAL,11,1186
63,124700000,COTABATO (NORTH COTABATO),12,1247
64,126300000,SOUTH COTABATO,12,1263
65,126500000,SULTAN KUDARAT,12,1265
66,128000000,SARANGANI,12,1280
67,129800000,COTABATO CITY,12,1298
68,133900000,"NCR, CITY OF MANILA, FIRST DISTRICT",13,1339
69,133900000,CITY OF MANILA,13,1339
70,137400000,"NCR, SECOND DISTRICT",13,1374
71,137500000,"NCR, THIRD DISTRICT",13,1375
72,137600000,"NCR, FOURTH DISTRICT",13,1376
73,140100000,ABRA,14,1401
74,141100000,BENGUET,14,1411
75,142700000,IFUGAO,14,1427
76,143200000,KALINGA,14,1432
77,144400000,MOUNTAIN PROVINCE,14,1444
78,148100000,APAYAO,14,1481
79,150700000,BASILAN,15,1507
80,153600000,LANAO DEL SUR,15,1536
81,153800000,MAGUINDANAO,15,1538
82,156600000,SULU,15,1566
83,157000000,TAWI-TAWI,15,1570
84,160200000,AGUSAN DEL NORTE,16,1602
85,160300000,AGUSAN DEL SUR,16,1603
86,166700000,SURIGAO DEL NORTE,16,1667
87,166800000,SURIGAO DEL SUR,16,1668
88,168500000,DINAGAT ISLANDS,16,1685
