age_months,l,m,s
61,-1.7862,15.2441,0.08512
62,-1.7862,15.2441,0.08512
63,-1.7862,15.2441,0.08512
64,-1.7862,15.2441,0.08512
65,-1.7862,15.2441,0.08512
66,-1.7862,15.2246,0.08568
67,-1.7862,15.2063,0.08623
68,-1.7862,15.1893,0.08677
69,-1.7862,15.1734,0.08729
70,-1.7862,15.1584,0.08779
71,-1.7862,15.1443,0.08826
72,-1.7862,15.1308,0.08872
73,-1.7862,15.1177,0.08916
74,-1.7862,15.1048,0.08959
75,-1.7862,15.0921,0.09001
76,-1.7862,15.0793,0.09042
77,-1.7862,15.0665,0.09081
78,-1.7862,15.0535,0.09120
79,-1.7862,15.0403,0.09157
80,-1.7862,15.0268,0.09193
81,-1.7862,15.0130,0.09228
82,-1.7862,14.9989,0.09262
83,-1.7862,14.9844,0.09295
84,-1.7862,14.9695,0.09327
85,-1.7862,14.9543,0.09358
86,-1.7862,14.9387,0.09388
87,-1.7862,14.9228,0.09417
88,-1.7862,14.9066,0.09445
89,-1.7862,14.8901,0.09472
90,-1.7862,14.8734,0.09498
91,-1.7862,14.8564,0.09523
92,-1.7862,14.8393,0.09547
93,-1.7862,14.8220,0.09570
94,-1.7862,14.8046,0.09593
95,-1.7862,14.7871,0.09614
96,-1.7862,14.7697,0.09635
97,-1.7862,14.7523,0.09655
98,-1.7862,14.7350,0.09674
99,-1.7862,14.7179,0.09692
100,-1.7862,14.7010,0.09710
101,-1.7862,14.6845,0.09727
102,-1.7862,14.6683,0.09743
103,-1.7862,14.6526,0.09759
104,-1.7862,14.6374,0.09774
105,-1.7862,14.6229,0.09789
106,-1.7862,14.6091,0.09803
107,-1.7862,14.5961,0.09817
108,-1.7862,14.5840,0.09830
109,-1.7862,14.5729,0.09843
110,-1.7862,14.5629,0.09856
111,-1.7862,14.5541,0.09868
112,-1.7862,14.5466,0.09880
113,-1.7862,14.5405,0.09892
114,-1.7862,14.5359,0.09904
115,-1.7862,14.5330,0.09916
116,-1.7862,14.5318,0.09928
117,-1.7862,14.5325,0.09941
118,-1.7862,14.5351,0.09953
119,-1.7862,14.5397,0.09966
120,-1.7862,14.5464,0.09979
121,-1.7862,14.5553,0.09993
122,-1.7862,14.5664,0.10007
123,-1.7862,14.5798,0.10021
124,-1.7862,14.5956,0.10036
125,-1.7862,14.6138,0.10051
126,-1.7862,14.6345,0.10067
127,-1.7862,14.6577,0.10083
128,-1.7862,14.6835,0.10100
129,-1.7862,14.7119,0.10117
130,-1.7862,14.7429,0.10135
131,-1.7862,14.7766,0.10153
132,-1.7862,14.8130,0.10172
133,-1.7862,14.8521,0.10192
134,-1.7862,14.8939,0.10212
135,-1.7862,14.9384,0.10233
136,-1.7862,14.9857,0.10255
137,-1.7862,15.0357,0.10277
138,-1.7862,15.0884,0.10300
139,-1.7862,15.1438,0.10323
