age_months,l,m,s
61,-1.4853,15.2176,0.08140
62,-1.4853,15.2176,0.08140
63,-1.4853,15.2176,0.08140
64,-1.4853,15.2176,0.08140
65,-1.4853,15.2176,0.08140
66,-1.4853,15.2003,0.08193
67,-1.4853,15.1841,0.08246
68,-1.4853,15.1691,0.08298
69,-1.4853,15.1551,0.08349
70,-1.4853,15.1421,0.08399
71,-1.4853,15.1299,0.08447
72,-1.4853,15.1185,0.08494
73,-1.4853,15.1078,0.08540
74,-1.4853,15.0977,0.08585
75,-1.4853,15.0881,0.08628
76,-1.4853,15.0789,0.08671
77,-1.4853,15.0701,0.08712
78,-1.4853,15.0616,0.08752
79,-1.4853,15.0534,0.08791
80,-1.4853,15.0453,0.08829
81,-1.4853,15.0374,0.08866
82,-1.4853,15.0296,0.08902
83,-1.4853,15.0219,0.08937
84,-1.4853,15.0143,0.08971
85,-1.4853,15.0067,0.09004
86,-1.4853,14.9991,0.09036
87,-1.4853,14.9914,0.09067
88,-1.4853,14.9837,0.09097
89,-1.4853,14.9759,0.09126
90,-1.4853,14.9680,0.09154
91,-1.4853,14.9600,0.09181
92,-1.4853,14.9519,0.09208
93,-1.4853,14.9437,0.09233
94,-1.4853,14.9354,0.09257
95,-1.4853,14.9270,0.09281
96,-1.4853,14.9185,0.09304
97,-1.4853,14.9100,0.09326
98,-1.4853,14.9014,0.09347
99,-1.4853,14.8928,0.09367
100,-1.4853,14.8842,0.09387
101,-1.4853,14.8757,0.09406
102,-1.4853,14.8673,0.09424
103,-1.4853,14.8591,0.09442
104,-1.4853,14.8511,0.09459
105,-1.4853,14.8434,0.09475
106,-1.4853,14.8361,0.09491
107,-1.4853,14.8293,0.09506
108,-1.4853,14.8230,0.09521
109,-1.4853,14.8173,0.09535
110,-1.4853,14.8123,0.09549
111,-1.4853,14.8080,0.09562
112,-1.4853,14.8045,0.09575
113,-1.4853,14.8019,0.09588
114,-1.4853,14.8003,0.09600
115,-1.4853,14.7997,0.09612
116,-1.4853,14.8002,0.09624
117,-1.4853,14.8019,0.09636
118,-1.4853,14.8049,0.09648
119,-1.4853,14.8092,0.09660
120,-1.4853,14.8149,0.09672
121,-1.4853,14.8220,0.09684
122,-1.4853,14.8306,0.09697
123,-1.4853,14.8407,0.09709
124,-1.4853,14.8524,0.09722
125,-1.4853,14.8657,0.09735
126,-1.4853,14.8807,0.09749
127,-1.4853,14.8974,0.09762
128,-1.4853,14.9158,0.09776
129,-1.4853,14.9359,0.09790
130,-1.4853,14.9578,0.09805
131,-1.4853,14.9815,0.09820
132,-1.4853,15.0071,0.09835
133,-1.4853,15.0344,0.09851
134,-1.4853,15.0636,0.09867
135,-1.4853,15.0947,0.09884
136,-1.4853,15.1276,0.09901
137,-1.4853,15.1624,0.09918
138,-1.4853,15.1991,0.09936
139,-1.4853,15.2377,0.09955
140,-1.4853,15.2781,0.09974
141,-1.4853,15.3204,0.09993
142,-1.4853,15.3646,0.10013
143,-1.4853,15.4106,0.10034
144,-1.4853,15.4585,0.10055
145,-1.4853,15.5082,0.10077
146,-1.4853,15.5597,0.10099
147,-1.4853,15.6130,0.10122
148,-1.4853,15.6681,0.10145
149,-1.4853,15.7249,0.10169
150,-1.4853,15.7835,0.10194
151,-1.4853,15.8437,0.10219
152,-1.4853,15.9056,0.10245
153,-1.4853,15.9691,0.10271
154,-1.4853,16.0342,0.10298
155,-1.4853,16.1008,0.10326
156,-1.4853,16.1689,0.10354
157,-1.4853,16.2385,0.10383
158,-1.4853,16.3094,0.10412
159,-1.4853,16.3817,0.10442
160,-1.4853,16.4552,0.10473
161,-1.4853,16.5300,0.10504
162,-1.4853,16.6059,0.10536
163,-1.4853,16.6830,0.10568
164,-1.4853,16.7611,0.10601
165,-1.4853,16.8402,0.10634
166,-1.4853,16.9203,0.10668
167,-1.4853,17.0012,0.10703
168,-1.4853,17.0829,0.10738
169,-1.4853,17.1654,0.10773
170,-1.4853,17.2486,0.10809
171,-1.4853,17.3323,0.10846
172,-1.4853,17.4166,0.10883
173,-1.4853,17.5013,0.10921
174,-1.4853,17.5864,0.10959
175,-1.4853,17.6718,0.10997
176,-1.4853,17.7574,0.11036
177,-1.4853,17.8432,0.11076
178,-1.4853,17.9291,0.11116
179,-1.4853,18.0150,0.11156
180,-1.4853,18.1009,0.11197
181,-1.4853,18.1866,0.11238
182,-1.4853,18.2722,0.11280
183,-1.4853,18.3574,0.11322
184,-1.4853,18.4424,0.11364
185,-1.4853,18.5269,0.11407
186,-1.4853,18.6109,0.11450
187,-1.4853,18.6944,0.11494
188,-1.4853,18.7772,0.11538
189,-1.4853,18.8594,0.11582
190,-1.4853,18.9408,0.11627
191,-1.4853,19.0214,0.11672
192,-1.4853,19.1012,0.11718
193,-1.4853,19.1801,0.11764
194,-1.4853,19.2580,0.11810
