age_months,l,m,s
0,1,49.8842,0.03795
1,1,54.7244,0.03557
2,1,58.4249,0.03424
3,1,61.4292,0.03328
4,1,63.886,0.03257
5,1,65.9026,0.03204
6,1,67.6236,0.03165
7,1,69.1645,0.03139
8,1,70.5994,0.03124
9,1,71.9687,0.03117
10,1,73.2812,0.03118
11,1,74.5388,0.03124
12,1,75.7488,0.03132
13,1,76.9186,0.03143
14,1,78.0497,0.03156
15,1,79.1458,0.0317
16,1,80.2113,0.03185
17,1,81.2487,0.032
18,1,82.2577,0.03215
19,1,83.2418,0.03231
20,1,84.1996,0.03246
21,1,85.135,0.03261
22,1,86.0477,0.03275
23,1,86.941,0.03289
24,1,87.8161,0.03303
25,1,88.6749,0.03316
26,1,89.5183,0.03328
27,1,90.3477,0.0334
28,1,91.1643,0.03351
29,1,91.9693,0.03362
30,1,92.7634,0.03373
31,1,93.5476,0.03383
32,1,94.3227,0.03393
33,1,95.0897,0.03402
34,1,95.849,0.03411
35,1,96.6016,0.0342
36,1,97.3481,0.03429
37,1,98.0891,0.03437
38,1,98.825,0.03445
39,1,99.5565,0.03453
40,1,100.284,0.03461
41,1,101.0079,0.03469
42,1,101.7283,0.03476
43,1,102.4457,0.03484
44,1,103.1604,0.03491
45,1,103.8725,0.03498
46,1,104.5822,0.03505
47,1,105.2898,0.03512
48,1,105.9954,0.03519
49,1,106.6992,0.03526
50,1,107.4013,0.03533
51,1,108.102,0.03539
52,1,108.8013,0.03546
53,1,109.4993,0.03553
54,1,110.1963,0.03559
55,1,110.8922,0.03566
56,1,111.5872,0.03572
57,1,112.2814,0.03579
58,1,112.9749,0.03585
59,1,113.6679,0.03592
60,1,114.3604,0.03598
