age_months,l,m,s
0,0.3487,3.3464,0.14602
1,0.2297,4.4709,0.13395
2,0.197,5.5675,0.12385
3,0.1738,6.3762,0.1162
4,0.1553,7.0023,0.1102
5,0.1395,7.5105,0.1052
6,0.1257,7.934,0.1009
7,0.1134,8.297,0.0973
8,0.1021,8.6151,0.0943
9,0.0917,8.9014,0.0918
10,0.082,9.1649,0.0897
11,0.073,9.4122,0.088
12,0.0644,9.6479,0.0866
13,0.0563,9.8749,0.0855
14,0.0487,10.0953,0.0846
15,0.0413,10.3108,0.084
16,0.0343,10.5228,0.0835
17,0.0275,10.7319,0.0832
18,0.0211,10.9385,0.083
19,0.0148,11.143,0.0829
20,0.0087,11.3462,0.0829
21,0.0029,11.5486,0.083
22,-0.0027,11.7504,0.0831
23,-0.0081,11.9514,0.0833
24,-0.0133,12.1515,0.0835
25,-0.0183,12.3502,0.0838
26,-0.0231,12.5466,0.0841
27,-0.0277,12.7401,0.0845
28,-0.0322,12.9303,0.0849
29,-0.0365,13.1169,0.0853
30,-0.0406,13.2996,0.0858
31,-0.0446,13.4785,0.0863
32,-0.0484,13.6535,0.0868
33,-0.0521,13.8248,0.0873
34,-0.0557,13.9926,0.0879
35,-0.0592,14.1574,0.0884
36,-0.0625,14.3194,0.089
37,-0.0657,14.4793,0.0896
38,-0.0688,14.6373,0.0902
39,-0.0718,14.7937,0.0908
40,-0.0747,14.949,0.0914
41,-0.0775,15.1034,0.092
42,-0.0803,15.2573,0.0926
43,-0.0829,15.4108,0.0932
44,-0.0855,15.5643,0.0938
45,-0.088,15.7179,0.0944
46,-0.0904,15.8717,0.095
47,-0.0928,16.0259,0.0956
48,-0.095,16.1807,0.0962
49,-0.0973,16.3361,0.0968
50,-0.0994,16.4923,0.0974
51,-0.1015,16.6493,0.098
52,-0.1035,16.8073,0.0986
53,-0.1055,16.9663,0.0992
54,-0.1074,17.1265,0.0998
55,-0.1093,17.2879,0.1004
56,-0.1111,17.4507,0.1009
57,-0.1129,17.615,0.1015
58,-0.1146,17.7808,0.1021
59,-0.1163,17.9481,0.1026
60,-0.118,18.117,0.1032
