age_months,l,m,s
0,0.3809,3.2322,0.14171
1,0.1714,4.1873,0.13724
2,0.1714,5.1282,0.13
3,0.1714,5.8458,0.12619
4,0.1714,6.4237,0.12402
5,0.1714,6.8985,0.12274
6,0.1714,7.297,0.12204
7,0.1714,7.6422,0.12178
8,0.1714,7.9487,0.12181
9,0.1714,8.2254,0.12199
10,0.1714,8.48,0.12223
11,0.1714,8.7192,0.12247
12,0.1714,8.9481,0.12268
13,0.1714,9.1699,0.12283
14,0.1714,9.387,0.12294
15,0.1714,9.6008,0.12299
16,0.1714,9.8124,0.12302
17,0.1714,10.0226,0.12299
18,0.1714,10.232,0.12295
19,0.1714,10.4416,0.1229
20,0.1714,10.6516,0.12283
21,0.1714,10.8624,0.12277
22,0.1714,11.0741,0.12269
23,0.1714,11.287,0.12263
24,0.1714,11.5012,0.12257
25,0.1714,11.7171,0.12252
26,0.1714,11.9352,0.12249
27,0.1714,12.1556,0.12247
28,0.1714,12.3783,0.12247
29,0.1714,12.6035,0.12249
30,0.1714,12.8312,0.12253
31,0.1714,13.0615,0.12259
32,0.1714,13.2944,0.12267
33,0.1714,13.5299,0.12276
34,0.1714,13.768,0.12287
35,0.1714,14.0086,0.12299
36,0.1714,14.2517,0.12313
37,0.1714,14.4972,0.12328
38,0.1714,14.7452,0.12344
39,0.1714,14.9956,0.12362
40,0.1714,15.2484,0.12381
41,0.1714,15.5036,0.12401
42,0.1714,15.7612,0.12421
43,0.1714,16.0211,0.12443
44,0.1714,16.2834,0.12465
45,0.1714,16.5481,0.12488
46,0.1714,16.8152,0.12511
47,0.1714,17.0846,0.12535
48,0.1714,17.3563,0.12559
49,0.1714,17.6303,0.12583
50,0.1714,17.9066,0.12607
51,0.1714,18.1853,0.12631
52,0.1714,18.4664,0.12655
53,0.1714,18.7499,0.12679
54,0.1714,19.0359,0.12703
55,0.1714,19.3244,0.12727
56,0.1714,19.6154,0.12751
57,0.1714,19.909,0.12775
58,0.1714,20.2051,0.12799
59,0.1714,20.5039,0.12823
60,0.1714,20.8054,0.12847
