height_cm,l,m,s
45,-0.3521,2.441,0.09182
46,-0.3521,2.583,0.09113
47,-0.3521,2.741,0.09041
48,-0.3521,2.916,0.08969
49,-0.3521,3.107,0.08898
50,-0.3521,3.317,0.08831
51,-0.3521,3.548,0.08769
52,-0.3521,3.803,0.08712
53,-0.3521,4.082,0.08662
54,-0.3521,4.385,0.08618
55,-0.3521,4.711,0.0858
56,-0.3521,5.054,0.08546
57,-0.3521,5.413,0.08516
58,-0.3521,5.78,0.08489
59,-0.3521,6.154,0.08462
60,-0.3521,6.528,0.08437
61,-0.3521,6.901,0.08411
62,-0.3521,7.27,0.08385
63,-0.3521,7.634,0.08359
64,-0.3521,7.989,0.08333
65,-0.3521,8.337,0.08307
66,-0.3521,8.675,0.08282
67,-0.3521,9.005,0.08256
68,-0.3521,9.328,0.08232
69,-0.3521,9.647,0.08208
70,-0.3521,9.963,0.08186
71,-0.3521,10.278,0.08165
72,-0.3521,10.593,0.08145
73,-0.3521,10.909,0.08127
74,-0.3521,11.225,0.08111
75,-0.3521,11.543,0.08096
76,-0.3521,11.862,0.08083
77,-0.3521,12.181,0.08072
78,-0.3521,12.499,0.08062
79,-0.3521,12.816,0.08054
80,-0.3521,13.132,0.08048
81,-0.3521,13.447,0.08043
82,-0.3521,13.761,0.08039
83,-0.3521,14.073,0.08037
84,-0.3521,14.384,0.08036
85,-0.3521,14.694,0.08036
86,-0.3521,15.003,0.08037
87,-0.3521,15.312,0.08039
88,-0.3521,15.62,0.08042
89,-0.3521,15.927,0.08046
90,-0.3521,16.234,0.08051
91,-0.3521,16.542,0.08056
92,-0.3521,16.851,0.08062
93,-0.3521,17.161,0.08068
94,-0.3521,17.474,0.08075
95,-0.3521,17.79,0.08082
96,-0.3521,18.109,0.0809
97,-0.3521,18.434,0.08098
98,-0.3521,18.764,0.08107
99,-0.3521,19.101,0.08116
100,-0.3521,19.444,0.08126
101,-0.3521,19.796,0.08136
102,-0.3521,20.156,0.08147
103,-0.3521,20.525,0.08158
104,-0.3521,20.904,0.0817
105,-0.3521,21.293,0.08182
106,-0.3521,21.693,0.08195
107,-0.3521,22.105,0.08208
108,-0.3521,22.53,0.08222
109,-0.3521,22.968,0.08237
110,-0.3521,23.421,0.08252
111,-0.3521,23.888,0.08268
112,-0.3521,24.37,0.08285
113,-0.3521,24.868,0.08302
114,-0.3521,25.382,0.0832
115,-0.3521,25.913,0.08339
116,-0.3521,26.461,0.08359
117,-0.3521,27.026,0.0838
118,-0.3521,27.608,0.08401
119,-0.3521,28.208,0.08424
120,-0.3521,28.826,0.08447
