height_cm,l,m,s
45,-0.3833,2.4607,0.09029
45.5,-0.3833,2.5457,0.09033
46,-0.3833,2.6306,0.09037
46.5,-0.3833,2.7155,0.0904
47,-0.3833,2.8007,0.09044
47.5,-0.3833,2.8867,0.09048
48,-0.3833,2.9741,0.09052
48.5,-0.3833,3.0636,0.09056
49,-0.3833,3.156,0.0906
49.5,-0.3833,3.252,0.09064
50,-0.3833,3.3518,0.09068
50.5,-0.3833,3.4557,0.09072
51,-0.3833,3.5636,0.09076
51.5,-0.3833,3.6754,0.0908
52,-0.3833,3.7911,0.09085
52.5,-0.3833,3.9105,0.09089
53,-0.3833,4.0332,0.09093
53.5,-0.3833,4.1591,0.09098
54,-0.3833,4.2875,0.09102
54.5,-0.3833,4.4179,0.09106
55,-0.3833,4.5498,0.0911
55.5,-0.3833,4.6827,0.09114
56,-0.3833,4.8162,0.09118
56.5,-0.3833,4.95,0.09121
57,-0.3833,5.0837,0.09125
57.5,-0.3833,5.2173,0.09128
58,-0.3833,5.3507,0.0913
58.5,-0.3833,5.4834,0.09132
59,-0.3833,5.6151,0.09134
59.5,-0.3833,5.7454,0.09135
60,-0.3833,5.8742,0.09136
60.5,-0.3833,6.0014,0.09137
61,-0.3833,6.127,0.09137
61.5,-0.3833,6.2511,0.09136
62,-0.3833,6.3738,0.09135
62.5,-0.3833,6.4948,0.09133
63,-0.3833,6.6144,0.09131
63.5,-0.3833,6.7328,0.09129
64,-0.3833,6.8501,0.09126
64.5,-0.3833,6.9662,0.09123
65,-0.3833,7.0812,0.09119
65.5,-0.3833,7.195,0.09115
66,-0.3833,7.3076,0.0911
66.5,-0.3833,7.4189,0.09106
67,-0.3833,7.5288,0.09101
67.5,-0.3833,7.6375,0.09096
68,-0.3833,7.7448,0.0909
68.5,-0.3833,7.8509,0.09085
69,-0.3833,7.9559,0.09079
69.5,-0.3833,8.0599,0.09074
70,-0.3833,8.163,0.09068
70.5,-0.3833,8.2651,0.09062
71,-0.3833,8.3666,0.09056
71.5,-0.3833,8.4676,0.0905
72,-0.3833,8.5679,0.09043
72.5,-0.3833,8.6674,0.09037
73,-0.3833,8.7661,0.09031
73.5,-0.3833,8.8638,0.09025
74,-0.3833,8.9601,0.09018
74.5,-0.3833,9.0552,0.09012
75,-0.3833,9.149,0.09005
75.5,-0.3833,9.2418,0.08999
76,-0.3833,9.3337,0.08992
76.5,-0.3833,9.4252,0.08985
77,-0.3833,9.5166,0.08979
77.5,-0.3833,9.6086,0.08972
78,-0.3833,9.7015,0.08965
78.5,-0.3833,9.7957,0.08959
79,-0.3833,9.8915,0.08952
79.5,-0.3833,9.9892,0.08946
80,-0.3833,10.0891,0.0894
80.5,-0.3833,10.1916,0.08934
81,-0.3833,10.2965,0.08928
81.5,-0.3833,10.4041,0.08923
82,-0.3833,10.514,0.08918
82.5,-0.3833,10.6263,0.08914
83,-0.3833,10.741,0.0891
83.5,-0.3833,10.8578,0.08906
84,-0.3833,10.9767,0.08903
84.5,-0.3833,11.0974,0.089
85,-0.3833,11.2198,0.08898
85.5,-0.3833,11.3435,0.08897
86,-0.3833,11.4684,0.08895
86.5,-0.3833,11.594,0.08895
87,-0.3833,11.7201,0.08895
87.5,-0.3833,11.8461,0.08895
88,-0.3833,11.972,0.08896
88.5,-0.3833,12.0976,0.08898
89,-0.3833,12.2229,0.089
89.5,-0.3833,12.3477,0.08903
90,-0.3833,12.4723,0.08906
90.5,-0.3833,12.5965,0.08909
91,-0.3833,12.7205,0.08913
91.5,-0.3833,12.8443,0.08918
92,-0.3833,12.9681,0.08923
92.5,-0.3833,13.092,0.08928
93,-0.3833,13.2158,0.08934
93.5,-0.3833,13.3399,0.08941
94,-0.3833,13.4643,0.08948
94.5,-0.3833,13.5892,0.08955
95,-0.3833,13.7146,0.08963
95.5,-0.3833,13.8408,0.08972
96,-0.3833,13.9676,0.08981
96.5,-0.3833,14.0953,0.0899
97,-0.3833,14.2239,0.09
97.5,-0.3833,14.3537,0.0901
98,-0.3833,14.4848,0.09021
98.5,-0.3833,14.6174,0.09033
99,-0.3833,14.7519,0.09044
99.5,-0.3833,14.8882,0.09057
100,-0.3833,15.0267,0.09069
100.5,-0.3833,15.1676,0.09083
101,-0.3833,15.3108,0.09096
101.5,-0.3833,15.4564,0.0911
102,-0.3833,15.6046,0.09125
102.5,-0.3833,15.7553,0.09139
103,-0.3833,15.9087,0.09155
103.5,-0.3833,16.0645,0.0917
104,-0.3833,16.2229,0.09186
104.5,-0.3833,16.3837,0.09203
105,-0.3833,16.547,0.09219
105.5,-0.3833,16.7129,0.09236
106,-0.3833,16.8814,0.09254
106.5,-0.3833,17.0527,0.09271
107,-0.3833,17.2269,0.09289
107.5,-0.3833,17.4039,0.09307
108,-0.3833,17.5839,0.09326
108.5,-0.3833,17.7668,0.09344
109,-0.3833,17.9526,0.09363
109.5,-0.3833,18.1412,0.09382
110,-0.3833,18.3324,0.09401
65,-0.3833,7.2402,0.09113
65.5,-0.3833,7.3523,0.09109
66,-0.3833,7.463,0.09104
66.5,-0.3833,7.5724,0.09099
67,-0.3833,7.6806,0.09094
67.5,-0.3833,7.7874,0.09088
68,-0.3833,7.893,0.09083
68.5,-0.3833,7.9976,0.09077
69,-0.3833,8.1012,0.09071
69.5,-0.3833,8.2039,0.09065
70,-0.3833,8.3058,0.09059
70.5,-0.3833,8.4071,0.09053
71,-0.3833,8.5078,0.09047
71.5,-0.3833,8.6078,0.09041
72,-0.3833,8.707,0.09035
72.5,-0.3833,8.8053,0.09028
73,-0.3833,8.9025,0.09022
73.5,-0.3833,8.9983,0.09016
74,-0.3833,9.0928,0.09009
74.5,-0.3833,9.1862,0.09003
75,-0.3833,9.2786,0.08996
75.5,-0.3833,9.3703,0.08989
76,-0.3833,9.4617,0.08983
76.5,-0.3833,9.5533,0.08976
77,-0.3833,9.6456,0.08969
77.5,-0.3833,9.739,0.08963
78,-0.3833,9.8338,0.08956
78.5,-0.3833,9.9303,0.0895
79,-0.3833,10.0289,0.08943
79.5,-0.3833,10.1298,0.08937
80,-0.3833,10.2332,0.08932
